S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
150,"2,947.70","2,971.69","2,891.43","2,923.46",-8.18,-0.27,"21,515,010,633.31",2024-08-13
151,"2,876.48","2,937.40","2,876.46","2,931.65",70.81,2.47,"27,242,034,765.88",2024-08-12
152,"2,780.08","2,860.96","2,779.24","2,860.91",94.46,3.41,"25,779,453,509.90",2024-08-11
153,"2,772.84","2,811.15","2,744.86","2,766.38",6.70,0.24,"20,070,434,103.38",2024-08-08
154,"2,644.73","2,759.67","2,630.86","2,759.67",108.35,4.08,"17,950,918,627.83",2024-08-07
155,"2,802.04","2,815.94","2,644.85","2,651.32",-145.05,-5.18,"23,716,716,874.10",2024-08-06
156,"2,770.38","2,806.69","2,744.10","2,796.38",40.76,1.47,"21,864,992,277.64",2024-08-05
157,"2,772.23","2,805.57","2,742.53","2,755.62",-5.29,-0.19,"21,713,431,007.73",2024-08-01
158,"2,708.24","2,791.02","2,707.57","2,760.90",64.25,2.38,"21,911,503,161.05",2024-07-31
159,"2,669.41","2,709.89","2,609.02","2,696.65",35.55,1.33,"17,266,391,542.96",2024-07-30
160,"2,706.73","2,737.68","2,655.15","2,661.09",-20.46,-0.76,"19,609,177,106.29",2024-07-29
161,"2,606.42","2,708.58","2,606.40","2,681.56",113.42,4.41,"15,810,596,235.45",2024-07-28
162,"2,540.14","2,572.88","2,518.47","2,568.11",32.00,1.26,"14,137,899,049.28",2024-07-25
163,"2,573.28","2,600.41","2,513.43","2,536.11",-27.32,-1.06,"16,208,577,314.52",2024-07-24
164,"2,493.92","2,563.45","2,469.56","2,563.43",75.33,3.02,"14,116,330,995.75",2024-07-23
165,"2,491.17","2,504.53","2,441.56","2,488.09",2.15,0.08,"13,915,535,440.97",2024-07-22
166,"2,431.55","2,494.71","2,408.25","2,485.94",61.61,2.54,"15,238,271,290.97",2024-07-21
167,"2,373.57","2,459.94","2,355.59","2,424.32",59.68,2.52,"15,548,684,746.66",2024-07-18
168,"2,323.71","2,364.76","2,311.93","2,364.63",54.04,2.33,"12,059,266,113.47",2024-07-17
169,"2,243.11","2,310.84","2,231.83","2,310.59",70.18,3.13,"9,138,629,642.41",2024-07-16
170,"2,277.85","2,287.15","2,231.69","2,240.41",-17.18,-0.76,"8,731,436,037.14",2024-07-15
171,"2,239.41","2,290.95","2,230.50","2,257.59",52.97,2.40,"7,620,498,520.87",2024-07-14
172,"2,188.63","2,205.15","2,185.02","2,204.61",29.21,1.34,"7,080,698,146.05",2024-07-11
173,"2,162.82","2,176.48","2,162.13","2,175.40",23.25,1.08,"5,744,083,391.51",2024-07-10
174,"2,138.61","2,152.14","2,130.07","2,152.14",15.79,0.73,"5,535,958,885.30",2024-07-09
175,"2,143.95","2,149.17","2,128.79","2,136.35",-4.62,-0.21,"4,569,836,106.00",2024-07-08
176,"2,121.99","2,146.81","2,121.99","2,140.97",21.27,1.00,"6,002,931,854.70",2024-07-07
177,"2,107.77","2,129.08","2,106.04","2,119.70",15.46,0.73,"6,482,546,980.63",2024-07-04
178,"2,101.83","2,104.22","2,077.45","2,104.22",3.79,0.18,"5,083,528,935.17",2024-07-03
179,"2,085.82","2,162.49","2,085.82","2,100.43",47.04,2.29,"4,576,831,720.09",2024-07-02
180,"2,038.70","2,053.38","2,030.50","2,053.38",16.29,0.80,"2,999,964,256.53",2024-07-01
181,"2,051.77","2,059.28","2,034.81","2,037.09",-14.83,-0.72,"3,607,198,407.65",2024-06-30
182,"2,059.60","2,059.74","2,047.02","2,051.92",-8.24,-0.40,"3,715,903,824.53",2024-06-27
183,"2,075.77","2,077.11","2,055.62","2,060.16",-11.60,-0.56,"4,058,047,734.22",2024-06-26
184,"2,067.31","2,077.22","2,067.31","2,071.77",5.60,0.27,"4,187,796,833.89",2024-06-25
185,"2,063.10","2,079.19","2,059.15","2,066.16",3.21,0.15,"5,077,255,116.14",2024-06-24
186,"2,068.71","2,079.15","2,057.43","2,062.94",-5.37,-0.25,"4,374,597,458.64",2024-06-23
187,"2,095.13","2,095.13","2,063.99","2,068.31",-10.44,-0.50,"3,870,744,903.34",2024-06-20
188,"2,077.74","2,086.65","2,073.43","2,078.76",2.27,0.10,"3,404,372,632.64",2024-06-19
